Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,Male,City,Country,Timestamp,Clicked on Ad
35.33,30,51510.18,200.22,Organized client-driven alliance,0,Khartoum,Sudan,05/06/2020 22:11,1
75.74,27,61005.87,215.25,Ergonomic multi-state structure,1,Nantong,China,16/01/2020 11:35,0
78.53,34,32536.98,131.72,Synergized multimedia emulation,0,Yancheng,China,22/04/2020 20:10,1
46.13,31,60248.97,139.01,Customer-focused optimizing moderator,0,Foshan,China,01/02/2020 09:00,1
69.01,44,74543.81,222.63,Advanced full-range migration,0,Nanning,China,07/07/2020 13:37,0
55.35,38,75509.61,153.17,De-engineered object-oriented protocol,1,Hengyang,China,08/03/2020 00:37,1
33.21,42,42650.32,167.07,Polarized clear-thinking budgetary management,1,Xi'an,China,10/05/2020 17:39,1
38.46,43,58183.04,145.98,Customizable 6thgeneration knowledge user,1,Shenyang,China,06/04/2020 11:24,1
64.1,22,60465.72,215.93,Seamless object-oriented structure,0,Tangshan,China,01/04/2020 16:21,0
49.81,37,57009.76,120.06,Seamless real-time array,1,Shaoyang,China,05/01/2020 04:18,1
82.73,32,54541.56,238.99,Grass-roots impactful system engine,1,Changsha,China,20/05/2020 21:31,0
56.14,40,32689.04,113.53,Devolved tangible approach,1,Santiago,Chile,03/02/2020 07:59,1
55.13,44,55605.92,111.71,Customizable executive software,0,Zhengzhou,China,17/02/2020 21:55,1
78.11,28,63296.87,209.25,Progressive analyzing attitude,1,Zhanjiang,China,30/01/2020 16:10,0
73.46,28,65653.47,222.75,Innovative executive encoding,1,Riyadh,Saudi Arabia,15/05/2020 14:41,0
56.64,36,61652.53,115.91,Down-sized uniform info-mediaries,0,Cangzhou,China,05/01/2020 17:56,1
68.94,52,30726.26,138.71,Streamlined next generation implementation,0,Dar es Salaam,Tanzania,19/04/2020 07:34,1
70.79,29,74535.94,184.1,Distributed tertiary system engine,0,Maoming,China,15/03/2020 15:49,0
57.76,43,47861.93,105.15,Triple-buffered scalable groupware,0,Huanggang,China,12/06/2020 15:25,1
77.51,35,73600.28,200.55,Total 5thgeneration encoding,0,Xinyang,China,01/07/2020 04:41,0
52.7,35,58543.94,118.6,Integrated human-resource encoding,1,Shangrao,China,08/05/2020 12:12,1
57.7,32,42696.67,109.07,Phased dynamic customer loyalty,0,Luoyang,China,14/03/2020 23:13,1
56.89,36,37334.78,109.29,Open-source coherent policy,1,Bijie,China,25/05/2020 00:19,1
69.9,42,71392.53,138.35,Down-sized modular intranet,0,Yantai,China,13/05/2020 11:51,1
55.79,26,59550.05,149.67,Pre-emptive content-based focus group,0,Quanzhou,China,20/02/2020 20:47,1
70.03,28,64264.25,227.72,Versatile 4thgeneration system engine,1,Hangzhou,China,22/05/2020 20:49,0
50.08,39,64147.86,125.85,Ergonomic full-range time-frame,1,Miami,United States,10/04/2020 02:02,1
43.67,33,25686.34,166.29,Automated directional function,1,Kunming,China,28/02/2020 06:41,1
72.84,28,52968.22,238.63,Progressive empowering alliance,0,Nanchong,China,08/07/2020 21:18,0
45.72,34,22473.08,154.02,Versatile homogeneous capacity,1,Zunyi,China,19/04/2020 15:14,1
39.94,42,64927.19,156.3,Function-based optimizing protocol,0,Lu'an,China,08/01/2020 22:47,1
35.61,48,51868.85,158.22,Up-sized secondary software,0,Yichun,China,28/03/2020 08:46,1
79.71,35,69456.83,211.65,Seamless holistic time-frame,1,Taizhou,China,02/07/2020 14:57,0
41.49,51,31947.65,169.18,Persevering reciprocal firmware,0,Liaocheng,China,03/07/2020 09:22,1
63.6,25,51864.77,235.28,Centralized logistical secured line,1,Qujing,China,01/06/2020 09:27,0
89.91,42,59593.56,194.23,Innovative background conglomeration,0,Xiangyang,China,09/07/2020 14:55,0
68.18,22,48376.14,218.17,Switchable 3rdgeneration hub,1,Surat,India,09/02/2020 22:04,0
66.49,22,56884.74,202.16,Polarized 6thgeneration info-mediaries,0,Baghdad,Iraq,10/06/2020 11:31,0
80.49,38,67186.54,229.12,Balanced heuristic approach,1,Qingdao,China,14/02/2020 03:50,0
72.23,26,46557.92,241.03,Focused 24hour implementation,1,Singapore,Singapore,05/07/2020 17:17,0
42.39,40,66541.05,150.99,De-engineered mobile infrastructure,0,Dallas,United States,28/04/2020 05:50,1
47.53,29,33258.09,135.18,Customer-focused upward-trending contingency,0,Changde,China,03/04/2020 05:10,1
74.02,32,72272.9,210.54,Operative system-worthy protocol,0,Dazhou,China,09/03/2020 14:57,0
66.63,62,60333.38,176.98,User-friendly upward-trending intranet,0,Suzhou,China,16/01/2020 23:37,1
63.24,54,65229.13,235.78,Future-proofed holistic superstructure,1,Philadelphia,United States,03/07/2020 04:33,1
71,21,56067.38,211.87,Extended systemic policy,0,Jieyang,China,14/03/2020 06:46,0
46.13,47,37838.72,123.64,Horizontal hybrid challenge,1,Nairobi,Kenya,09/01/2020 05:44,1
69,32,72683.35,221.21,Virtual composite model,1,Nangandao,China,11/02/2020 04:37,0
76.99,30,56729.78,244.34,Switchable mobile framework,1,Ankara,Turkey,22/06/2020 07:33,0
72.6,57,66815.54,162.95,Focused intangible moderator,0,Tai'an,China,13/07/2020 16:12,1
61.88,43,60223.52,112.19,Balanced actuating moderator,1,Yulin,China,23/07/2020 11:46,1
84.45,49,29727.79,207.18,Customer-focused transitional strategy,0,Dezhou,China,13/07/2020 04:10,1
88.97,47,49269.98,152.49,Advanced web-enabled standardization,0,Houston,United States,11/06/2020 18:32,1
86.19,29,57669.41,210.26,Pre-emptive executive knowledgebase,1,Atlanta,United States,08/05/2020 12:51,0
49.58,26,56791.75,231.94,Self-enabling holistic process improvement,0,Rangoon,Burma,07/04/2020 16:02,0
77.65,29,63274.88,212.79,Horizontal client-driven hierarchy,0,Toronto,Canada,04/02/2020 13:30,0
37.75,36,35466.8,225.24,Polarized dynamic throughput,0,Suihua,China,26/02/2020 19:48,1
62.33,41,68787.09,127.11,Devolved zero administration intranet,0,Washington,United States,21/06/2020 13:15,1
79.57,29,61227.59,230.93,User-friendly asymmetric info-mediaries,0,Qiqihar,China,17/05/2020 04:27,0
80.31,44,56366.88,127.07,Cross-platform regional task-force,0,Jinhua,China,18/04/2020 15:54,1
89.05,45,57868.44,206.98,Polarized bandwidth-monitored moratorium,0,Saint Petersburg,Russia,03/04/2020 10:07,0
70.41,26,66618.21,223.03,Centralized systematic knowledgebase,0,Shantou,China,04/04/2020 21:30,0
67.36,38,73104.47,233.56,Future-proofed grid-enabled implementation,0,Sydney,Australia,06/07/2020 16:00,0
46.98,48,21644.91,175.37,Down-sized well-modulated archive,0,Weinan,China,04/05/2020 09:00,1
41.67,36,53817.02,132.55,Realigned zero tolerance emulation,0,Suqian,China,13/06/2020 18:50,1
51.24,37,76368.31,176.73,Versatile transitional monitoring,0,Guadalajara,Mexico,03/01/2020 16:01,1
75.7,30,67633.44,215.44,Profound zero administration instruction set,0,Suzhou,China,14/01/2020 00:23,0
43.49,49,50335.46,127.83,User-centric intangible task-force,0,Fuzhou,China,12/01/2020 10:07,1
49.89,41,17709.98,160.03,Enhanced system-worthy application,1,Zhaotong,China,16/04/2020 12:09,1
38.37,36,41229.16,140.46,Multi-layered user-facing paradigm,0,Pudong,China,13/05/2020 06:09,1
38.52,39,42581.23,137.28,Customer-focused 24/7 concept,1,Yongzhou,China,27/03/2020 23:59,1
71.89,21,61617.98,172.81,Function-based transitional complexity,1,Belo Horizonte,Brazil,03/02/2020 23:47,0
75.8,39,70575.6,146.19,Progressive clear-thinking open architecture,1,Zhangzhou,China,18/04/2020 11:23,0
83.86,30,64122.36,190.25,Up-sized executive moderator,0,Bozhou,China,05/02/2020 19:06,0
37.51,29,52097.32,163,Re-contextualized optimal service-desk,1,Melbourne,Australia,21/03/2020 18:46,1
55.6,43,65953.76,124.38,Fully-configurable neutral open system,1,Nanchang,China,14/06/2020 11:59,1
83.67,42,60192.72,234.26,Upgradable system-worthy array,1,Xianyang,China,06/02/2020 23:08,0
69.08,41,77460.07,210.6,Ergonomic client-driven application,0,Taizhou,China,12/03/2020 01:39,0
37.47,45,45716.48,141.89,Realigned content-based leverage,1,Surabaya,Indonesia,26/01/2020 03:56,1
56.04,47,65120.86,128.95,Decentralized real-time circuit,1,Abidjan,Côte D’Ivoire,07/02/2020 08:02,1
70.92,41,49995.63,108.16,Polarized modular function,1,Ji'an,China,05/05/2020 07:58,1
49.78,44,71718.51,152.24,Enterprise-wide client-driven contingency,0,Mianyang,China,29/06/2020 02:43,1
68.61,59,61770.34,150.29,Diverse modular interface,0,Shaoxing,China,10/04/2020 19:48,1
58.18,27,69112.84,176.28,Polarized analyzing concept,1,Alexandria,Egypt,10/02/2020 06:37,0
78.54,34,72524.86,172.1,Multi-channeled asynchronous open system,0,Yuncheng,China,28/05/2020 20:41,0
37,48,36782.38,158.22,Function-based context-sensitive secured line,1,Pingdingshan,China,24/03/2020 06:36,1
65.4,31,66699.12,247.31,Adaptive 24hour Graphic Interface,0,Huai'an,China,12/02/2020 22:51,0
79.52,25,64287.78,183.48,Automated coherent flexibility,1,Xinpu,China,10/06/2020 10:11,0
87.98,38,56637.59,222.11,Focused scalable complexity,1,Guilin,China,31/03/2020 10:44,0
44.64,38,55787.58,127.01,Up-sized incremental encryption,0,Huaihua,China,14/02/2020 06:51,1
41.73,28,61142.33,202.18,Sharable dedicated Graphic Interface,1,Jiujiang,China,07/01/2020 19:16,1
80.46,25,61625.87,207.96,Digitized zero administration paradigm,1,Anqing,China,04/02/2020 02:13,0
75.55,34,73234.87,159.24,Managed grid-enabled standardization,0,Boston,United States,09/05/2020 02:58,1
76.32,37,74166.24,195.31,Networked foreground definition,1,Huanglongsi,China,23/06/2020 00:16,0
82.68,34,62669.59,222.77,Re-engineered exuding frame,1,Xiaoganzhan,China,20/06/2020 09:35,0
72.01,33,57756.89,251,Horizontal multi-state interface,0,Changzhou,China,29/02/2020 12:31,0
75.83,23,58019.64,162.44,Diverse stable circuit,0,Barcelona,Spain,17/01/2020 15:10,0
41.28,51,50960.08,140.39,Universal 24/7 implementation,0,Chenzhou,China,29/01/2020 03:54,1
34.66,33,48246.6,194.83,Customer-focused multi-tasking Internet solution,0,Wuxi,China,14/07/2020 12:07,1
66.18,56,28271.84,143.42,Vision-oriented contextually-based extranet,0,Zibo,China,10/01/2020 23:14,1
86.06,32,53767.12,219.72,Extended local methodology,1,Jiaxing,China,28/04/2020 18:34,0
59.59,41,43662.1,104.78,Re-engineered demand-driven capacity,1,Dalian,China,06/07/2020 18:36,1
86.69,32,62238.58,198.56,Customer-focused attitude-oriented instruction set,0,Harbin,China,27/05/2020 06:19,0
43.77,54,49030.03,138.55,Synergized hybrid time-frame,1,Yangzhou,China,25/01/2020 07:39,1
71.84,47,76003.47,199.79,Advanced exuding conglomeration,1,Yibin,China,08/05/2020 22:47,0
80.23,31,68094.85,196.23,Secured clear-thinking middleware,0,Jiangmen,China,19/03/2020 14:23,0
74.41,24,64395.85,163.05,Right-sized value-added initiative,0,Johannesburg,South Africa,23/07/2020 04:37,0
63.36,47,70053.27,137.43,Centralized tertiary pricing structure,0,Meizhou,China,23/06/2020 01:22,1
71.74,33,72423.97,227.56,Multi-channeled reciprocal artificial intelligence,0,Chifeng,China,19/07/2020 18:06,0
60.72,43,42995.8,105.69,Synergized context-sensitive database,0,Casablanca,Morocco,28/02/2020 18:52,1
72.04,24,60309.58,199.43,Realigned systematic function,0,Guiyang,China,10/02/2020 06:52,0
44.57,29,38349.78,133.17,Adaptive context-sensitive application,1,Langfang,China,27/03/2020 09:11,1
85.86,36,63115.34,208.23,Networked high-level structure,0,Zhangjiakou,China,23/05/2020 02:15,0
39.85,37,31343.39,145.96,Profit-focused dedicated utilization,0,Izmir,Turkey,03/01/2020 03:22,1
84.53,25,40763.13,168.34,Stand-alone tangible moderator,0,Linfen,China,04/01/2020 21:48,1
62.95,62,36752.24,157.04,Polarized tangible collaboration,0,Wenzhou,China,24/05/2020 13:30,1
67.58,39,65044.59,255.61,Focused high-level conglomeration,1,Monterrey,Mexico,01/02/2020 19:42,0
85.56,31,53673.08,210.46,Advanced modular Local Area Network,0,Luzhou,China,05/06/2020 13:16,0
46.88,52,43444.86,136.64,Virtual scalable secured line,0,Jiangguanchi,China,04/02/2020 08:53,1
46.31,57,44248.52,153.98,Front-line fault-tolerant intranet,1,Neijiang,China,24/03/2020 13:37,1
77.95,31,62572.88,233.65,Inverse asymmetric instruction set,1,Phoenix,United States,02/06/2020 21:02,0
84.73,30,39840.55,153.76,Synchronized leadingedge help-desk,0,Yanjiang,China,21/02/2020 07:42,1
39.86,35,32593.59,145.85,Total 5thgeneration standardization,0,Yiyang,China,26/06/2020 17:16,1
50.08,29,41629.86,123.91,Sharable grid-enabled matrix,0,Zhaoqing,China,03/01/2020 05:34,1
60.23,36,43313.73,106.86,Balanced asynchronous hierarchy,0,Hengshui,China,08/03/2020 18:00,1
60.7,49,42993.48,110.57,Monitored object-oriented Graphic Interface,1,Guigang,China,19/06/2020 03:19,1
43.67,52,46004.31,143.79,Cloned analyzing artificial intelligence,1,Xiaoxita,China,21/07/2020 21:16,1
77.2,35,49325.48,254.05,Persistent homogeneous framework,1,Xiamen,China,12/02/2020 20:36,0
71.86,33,51633.34,116.53,Face-to-face even-keeled website,0,Chuzhou,China,17/05/2020 06:14,1
44.78,45,63363.04,137.24,Extended context-sensitive monitoring,1,Fuzhou,China,09/07/2020 11:04,1
78.57,36,64045.93,239.32,Exclusive client-driven model,1,Amman,Jordan,27/03/2020 02:35,0
73.41,33,73049.3,201.26,Profound executive flexibility,1,Jeddah,Saudi Arabia,16/01/2020 08:01,0
77.05,27,66624.6,191.14,Reduced bi-directional strategy,0,Sialkot City,Pakistan,21/01/2020 23:48,0
66.4,42,77567.85,214.42,Digitized heuristic solution,0,Huizhou,China,05/06/2020 00:29,0
69.35,29,53431.35,252.77,Seamless 4thgeneration contingency,1,Qingyuan,China,13/02/2020 15:37,0
35.65,39,31265.75,172.58,Seamless intangible secured line,1,Zhuzhou,China,10/05/2020 07:22,1
70.04,32,74780.74,183.85,Intuitive radical forecast,1,Wuhu,China,27/03/2020 03:59,0
69.78,29,70410.11,218.79,Multi-layered non-volatile Graphical User Interface,0,Hechi,China,24/05/2020 18:35,0
58.22,30,37345.24,120.9,User-friendly client-server instruction set,0,Seattle,United States,11/02/2020 02:40,1
76.9,26,66107.84,212.67,Synchronized multimedia model,0,Loudi,China,22/04/2020 08:31,0
84.08,30,62336.39,187.36,Face-to-face intermediate approach,1,Binzhou,China,13/01/2020 02:58,0
59.51,58,39132.64,140.83,Assimilated fault-tolerant hub,0,Liuzhou,China,16/06/2020 02:01,1
40.15,39,38745.29,134.88,Exclusive disintermediate task-force,1,Yokohama,Japan,27/06/2020 18:37,1
76.81,29,65172.22,217.85,Managed zero tolerance concept,1,Baojishi,China,03/07/2020 12:57,0
41.89,36,68519.96,163.38,Compatible systemic function,0,Guang'an,China,03/02/2020 04:21,1
76.87,27,54774.77,235.35,Configurable fault-tolerant monitoring,1,Hanzhong,China,29/05/2020 21:17,0
67.28,43,76246.96,155.8,Future-proofed coherent hardware,1,Kabul,Afghanistan,03/04/2020 21:13,1
81.98,41,65461.92,229.22,Ameliorated upward-trending definition,0,Zaozhuang,China,15/04/2020 11:51,0
66.01,25,34127.21,151.95,Front-line tangible alliance,0,Berlin,Germany,21/06/2020 03:14,1
61.57,55,35253.98,125.94,Progressive 24hour forecast,1,Anshan,China,14/03/2020 14:13,1
53.3,32,44893.71,111.94,Self-enabling optimal initiative,0,Deyang,China,06/05/2020 21:07,1
34.87,41,59621.02,200.23,Configurable logistical Graphical User Interface,0,Lanzhou,China,12/06/2020 17:52,1
43.6,39,20856.54,170.49,Virtual bandwidth-monitored initiative,0,Chengde,China,11/01/2020 07:36,1
77.88,38,55353.41,254.57,Multi-tiered human-resource structure,0,San Francisco,United States,02/07/2020 00:24,0
75.83,27,67516.07,200.59,Managed upward-trending instruction set,0,Puyang,China,04/03/2020 10:13,0
49.95,38,68737.75,136.59,Cloned object-oriented benchmark,0,Suining,China,24/03/2020 09:12,1
60.94,42,76893.84,154.97,Fundamental fault-tolerant neural-net,0,Jiaozuo,China,14/02/2020 07:30,1
89.15,42,59886.58,171.07,Phased zero administration success,0,Bengbu,China,25/04/2020 07:30,0
78.7,32,53441.69,133.99,Compatible intangible customer loyalty,0,Montreal,Canada,10/02/2020 19:20,1
57.35,28,41356.31,119.84,Distributed 3rdgeneration definition,0,Detroit,United States,23/04/2020 14:34,1
34.86,37,49942.66,154.75,Pre-emptive cohesive budgetary management,0,Baicheng,China,18/06/2020 17:56,1
70.68,32,74430.08,199.08,Configurable multi-state utilization,0,Busan,"Korea, South",17/07/2020 01:58,0
76.06,22,58633.63,201.04,Diverse multi-tasking parallelism,0,Algiers,Algeria,27/04/2020 04:28,0
66.67,32,72707.87,228.03,Horizontal content-based synergy,1,Qincheng,China,21/04/2020 20:29,0
46.77,31,31092.93,136.4,Multi-tiered maximized archive,1,Taiyuan,China,23/03/2020 06:00,1
62.42,40,74445.18,143.94,Diverse executive groupware,0,Lucknow,India,19/07/2020 07:59,1
78.32,29,49309.14,239.52,Synergized cohesive array,0,Chaoyang,China,26/06/2020 11:52,1
37.32,51,56735.14,199.25,Versatile dedicated software,1,Hechi,China,30/03/2020 23:40,1
40.42,44,40183.75,133.9,Stand-alone reciprocal synergy,1,Leshan,China,16/03/2020 07:59,1
76.77,37,58348.41,123.51,Universal even-keeled analyzer,0,Yulinshi,China,04/05/2020 00:01,1
65.65,32,72209.99,158.05,Up-sized tertiary contingency,0,Siping,China,02/07/2020 21:22,0
74.32,32,62060.11,128.17,Monitored real-time superstructure,0,Madrid,Spain,23/05/2020 21:14,1
73.27,32,67113.46,234.75,Streamlined analyzing initiative,1,Jinan,China,29/01/2020 20:16,0
80.03,45,24030.06,150.84,Automated static concept,0,Shiyan,China,23/07/2020 14:47,1
53.68,45,56180.93,115.26,Operative stable moderator,1,Changzhi,China,16/02/2020 09:11,1
85.84,33,62204.93,192.85,Up-sized 6thgeneration moratorium,1,San Diego,United States,09/06/2020 21:43,0
85.03,30,60372.64,204.52,Expanded clear-thinking core,0,Faisalabad,Pakistan,19/06/2020 09:24,0
70.44,26,65280.16,178.75,Polarized attitude-oriented superstructure,1,Santa Cruz,Bolivia,06/06/2020 21:26,0
81.22,55,34309.24,223.09,Networked coherent interface,1,Bazhou,China,07/01/2020 13:25,0
39.96,47,59610.81,146.13,Enhanced homogeneous moderator,1,Zhongshan,China,15/04/2020 06:08,1
57.05,43,50278.89,269.96,Seamless full-range website,1,Zhenjiang,China,09/01/2020 03:45,1
42.44,58,43450.11,168.27,Profit-focused attitude-oriented task-force,0,Urumqi,China,10/02/2020 15:23,1
62.2,23,25408.21,161.16,Cross-platform multimedia algorithm,0,Tongliao,China,24/04/2020 13:42,1
76.7,38,71136.49,222.25,Open-source coherent monitoring,0,Heyuan,China,12/06/2020 05:31,0
61.22,43,63883.81,119.03,Streamlined logistical secured line,1,Tongren,China,05/01/2020 09:42,1
84.54,35,64902.47,204.02,Synchronized stable complexity,1,Qinzhou,China,02/03/2020 10:07,0
46.08,32,66784.81,164.63,Synergistic value-added extranet,1,Jaipur,India,21/07/2020 10:54,1
56.7,49,62784.85,123.13,Progressive non-volatile neural-net,0,Xinzhou,China,09/01/2020 04:53,1
81.03,30,63727.5,201.15,Persevering tertiary capability,0,Addis Ababa,Ethiopia,06/01/2020 13:20,0
80.91,34,61608.23,231.42,Enterprise-wide bi-directional secured line,0,Giza,Egypt,31/01/2020 04:10,0
40.06,37,56782.18,138.68,Organized contextually-based customer loyalty,1,Meishan,China,11/06/2020 08:38,1
83.47,38,64447.77,226.11,Total directional approach,0,Brasilia,Brazil,15/05/2020 20:48,0
73.84,33,42042.95,121.05,Programmable uniform productivity,0,Mashhad,Iran,18/06/2020 17:23,1
74.65,30,67669.06,212.56,Robust transitional ability,0,Jinzhou,China,17/03/2020 05:00,0
60.25,36,54875.95,109.77,De-engineered fault-tolerant database,0,Tieling,China,29/06/2020 13:35,1
59.21,37,73347.67,144.62,Managed disintermediate matrices,1,Shaoguan,China,02/02/2020 08:55,1
43.02,42,50199.77,125.22,Configurable bottom-line application,0,Shanwei,China,13/04/2020 05:42,1
84.04,36,50723.67,244.55,Self-enabling didactic pricing structure,0,Minneapolis,United States,20/07/2020 09:27,0
70.66,41,63450.96,120.95,Versatile scalable encryption,1,Kyiv,Ukraine,26/02/2020 04:57,1
70.58,25,56694.12,136.94,Proactive next generation knowledge user,0,Sanaa,Yemen,26/02/2020 09:18,1
72.44,36,70547.16,230.14,Customizable tangible hierarchy,0,Quezon City,Philippines,15/04/2020 14:45,0
40.17,24,47391.95,171.31,Visionary asymmetric encryption,1,Dingxi,China,01/02/2020 14:37,1
